text,label
when reno lets her radical flag fly  taking angry potshots at george w  bush  henry kissinger  larry king  et al   reno devolves into a laughfree lecture,0
too much of storytelling moves away from solondzs social critique  casting its audience as that of intellectual lector in contemplation of the auteurs professional injuries,1
allen se atreve a atacar  a atacarse y nos ofrece gags que van de la sonrisa a la risa de larga duración,1
if you believe any of this  i can make you a real deal on leftover enron stock that will double in value a week from friday,0
falls neatly into the category of good stupid fun,1
taymor utilizes the idea of making kahlos art a living  breathing part of the movie  often catapulting the artist into her own work  this isnt a new idea  its been done before but never so vividly or with so much passion,1
a mess  but its a sincere mess,1
a weird and wonderful comedy,1
its a lovely film with lovely performances by buy and accorsi,1
like most bond outings in recent years  some of the stunts are so outlandish that they border on being cartoonlike  a heavy reliance on cgi technology is beginning to creep into the series,1
the closest thing to the experience of space travel,1
it takes talent to make a lifeless movie about the most heinous man who ever lived,0
if the title is a jeopardy question  then the answer might be  how does steven seagal come across these days   or maybe  how will you feel after an 88minute ripoff of the rock with action confined to slomo gun firing and random glassshattering,0
twist open the ouzo  its time to let your hair down  greek style  a vibrant whirlwind of love  family and all that goes with it  my big fat greek wedding is a nonstop funny feast of warmth  colour and cringe,1
hilarious musical comedy though stymied by accents thick as mud,0
the film is delicately narrated by martin landau and directed with sensitivity and skill by dana janklowiczmann,1
weiss and speck never make a convincing case for the relevance of these two 20thcentury footnotes,0
should have been someone else,0
everything that was right about blade is wrong in its sequel,0
reminiscent of alfred hitchcocks thrillers  most of the scary parts in signs occur while waiting for things to happen,1
if you are in the mood for an intelligent weepy  it can easily worm its way into your heart,1
due to stodgy  soap operaish dialogue  the rest of the cast comes across as stick figures reading lines from a teleprompter,0
the talkheavy film plays like one of robert altmans lesser works,0
if you can swallow its absurdities and crudities lagaan really is enormously good fun,1
plays like a series of vignettes  clips of a film that are still looking for a common throughline,0
enigma is wellmade  but its just too dry and too placid,0
fifty minutes of tedious adolescent melodramatics followed by thirtyfive minutes of inflated nonsense,0
theres no excuse for following up a delightful  wellcrafted family film with a computergenerated cold fish,0
theres no conversion effort  much of the writing is genuinely witty and both stars are appealing enough to probably have a good shot at a hollywood career  if they want one,1
glazed with a tawdry bmovie scum,0
based on a david leavitt story  the film shares that writers usual blend of observant cleverness  toofacile coincidence and slightly noxious preciousness,0
a certain sexiness underlines even the dullest tangents,1
an enjoyable above average summer diversion,1
an invaluable historical document thanks to the filmmakers extraordinary access to massoud  whose charm  cultivation and devotion to his people are readily apparent,1
scott delivers a terrific performance in this fascinating portrait of a modern lothario,1
the most compelling wiseman epic of recent years,1
like the original  this version is raised a few notches above kiddie fantasy pablum by allens astringent wit,1
its lost the politics and the social observation and become just another situation romance about a couple of saps stuck in an inarticulate screenplay,0
solid  lumpinthethroat family entertainment that derives its power by sticking to the facts,1
nelsons movie about morally compromised figures leaves viewers feeling compromised  unable to find their way out of the fog and the ashes,0
although the level of the comedy declines as the movie proceeds  theres no denying the fun of watching de niro and crystal having fun,1
the kind of nervous film that will either give you a mild headache or exhilarate you,1
most of the characters come off as pantomimesque sterotypes,0
a poorly executed comedy,0
despite suffering a senseofhumour failure  the man who wrote rocky does not deserve to go down with a ship as leaky as this,0
its got all the familiar bruckheimer elements  and schumacher does probably as good a job as anyone at bringing off the hopkinsrock collision of acting styles and onscreen personas,1
gooding and coburn are both oscar winners  a fact which  as you watch them clumsily mugging their way through snow dogs  seems inconceivable,0
so unique and stubborn and charismatic that you want it to be better and more successful than it is,1
who is the audience for cletis tout  anybody who enjoys quirky  fun  popcorn movies with a touch of silliness and a little bloodshed,1
theres something about a marching band that gets me where i live,1
the strippeddown dramatic constructs  austere imagery and abstract characters are equal parts poetry and politics  obvious at times but evocative and heartfelt,1
unsurprisingly  the way this all works out makes the women look more like stereotypical caretakers and moral teachers  instead of serious athletes,0
directorchef gabriele muccino keeps it fast  zippy  comin at ya  as if fearing that his film is molto superficiale,0
on guard   wont be placed in the pantheon of the best of the swashbucklers but it is a whole lot of fun and you get to see the one of the worlds best actors  daniel auteuil  have a whale of a good time,1
its a rare window on an artistic collaboration,1
mel gibson fights the good fight in vietnam in director randall wallaces flagwaving war flick with a core of decency,1
animated drivel meant to enhance the selfimage of drooling idiots,0
to enjoy this movies sharp dialogue and delightful performance by jolie and burns  you have to gloss over the no sense ending,0
rumor  a muddled drama about coming to terms with death  feels impersonal  almost generic,0
there is no solace here  no entertainment value  merely a fierce lesson in where filmmaking can take us,1
the film wasnt preachy  but it was feminism by the book,0
nicely serves as an examination of a society in transition,1
the worst kind of independent  the one where actors play dress down hicks and ponderously mope around trying to strike lightning as captured by their 1970s predecessors,0
not one moment in the enterprise didnt make me want to lie down in a dark room with something cool to my brow,0
theres an admirable rigor to jimmys relentless anger  and to the scripts refusal of a happy ending  but as those monologues stretch on and on  you realize theres no place for this story to go but down,0
its a lot to ask people to sit still for two hours and change watching such a character  especially when rendered in as flat and impassive a manner as phoenixs,0
kinnear and dafoe give what may be the performances of their careers,1
everyone should be able to appreciate the wonderful cinematography and naturalistic acting,1
a lovely film for the holiday season,1
scorsese at his best makes gangster films that are equally lovely but also relentlessly brutal and brutally intelligent  perdition  meanwhile  reads more like driving miss daisy than goodfellas,0
the film tries to touch on spousal abuse but veers off course and becomes just another revenge film,0
for all the time we spend with these people  we never really get inside of them,0
bears resemblance to  and shares the weaknesses of  too many recent actionfantasy extravaganzas in which special effects overpower cogent storytelling and visual clarity during the big action sequences,0
a perfectly competent and often imaginative film that lacks what little lilo  stitch had in spades  charisma,1
a quiet  disquieting triumph,1
skip this turd and pick your nose instead because youre sure to get more out of the latter experience,0
demeo is not without talent  he just needs better material,0
not a cozy or ingratiating work  but its challenging  sometimes clever  and always interesting  and those are reasons enough to see it,1
in the end  there isnt much to it,0
though harris is affecting at times  he cannot overcome the sense that pumpkin is a mere plot pawn for two directors with far less endearing disabilities,0
the movie  while beautiful  feels labored  with a hint of the writing exercise about it,0
brown sugar  admirably aspires to be more than another  best man  clone by weaving a theme throughout this funny film,1
sometimes this modest little number clicks  and sometimes it doesnt,0
complex  affecting and uniquely almodóvar  the film evokes strong emotions and pushes viewers to question their deepest notions of moral right and wrong,1
highly recommended as an engrossing story about a horrifying historical event and the elements which contributed to it,1
what was once original has been coopted so frequently that it now seems pedestrian,0
sam mendes has become valedictorian at the school for soft landings and easy ways out,0
would benignis italian pinocchio have been any easier to sit through than this hastily dubbed disaster,0
the volatile dynamics of female friendship is the subject of this unhurried  lowkey film that is so offhollywood that it seems positively french in its rhythms and resonance,1
the film desperately sinks further and further into comedy futility,0
its better than the phantom menace  but unless youre an absolute raving star wars junkie  it isnt much fun,0
it has its faults  but it is a kind  unapologetic  sweetheart of a movie  and mandy moore leaves a positive impression,1
a formula family tearjerker told with a heavy irish brogue    accentuating  rather than muting  the plots saccharine thrust,0
perhaps the most annoying thing about who is cletis tout  is that its a crime movie made by someone who obviously knows nothing about crime,0
a cockeyed shot all the way,0
the film has a laundry list of minor shortcomings  but the numerous scenes of gory mayhem are worth the price of admission    if  gory mayhem  is your idea of a good time,1
if you recognize zeus  the dog from snatch  it will make you wish you were at home watching that movie instead of in the theater watching this one,0
a macabre and very stylized swedish fillm about a modern city where all the religious and civic virtues that hold society in place are in tatters,1
soderbergh seems capable only of delivering artfully lighted  earnest inquiries that lack the kind of genuine depth that would make them redeemable,0
unfortunately  contrived plotting  stereotyped characters and woos overthetop instincts as a director undermine the moral dilemma at the movies heart,0
a thoughtful and surprisingly affecting portrait of a screwedup man who dared to mess with some powerful people  seen through the eyes of the idealistic kid who chooses to champion his ultimately losing cause,1
has an uppity musical beat that you can dance to  but its energy cant compare to the wit  humor and snappy dialogue of the original  if i want music  ill buy the soundtrack  if i want a real movie  ill buy the criterion dvd,0
nicholas nickleby  is a perfect family film to take everyone to since theres no new  a christmas carol  out in the theaters this year  charlie hunnam has the twinkling eyes  repressed smile and determined face needed to carry out a dickensian hero,1
heres a british flick gleefully unconcerned with plausibility  yet just as determined to entertain you,1
theres no way to sort out the mess in our heads and deconstruct where it all went wrong  this is an hour and a half of daydreaming,0
one of the most important and exhilarating forms of animated filmmaking since old walt doodled steamboat willie,1
writerdirector stephen gaghan has made the nearfatal mistake of being what the english call too clever by half,0
sure  its more of the same  but as the film proves  thats not always a bad thing,1
the film truly does rescue the funk brothers from motowns shadows  its about time,1
the script kicks in  and mr  hartleys distended pace and footdragging rhythms follow,0
even by the intentionally low standards of fratboy humor  sorority boys is a bowser,0
any film that doesnt even in passing mention political prisoners  poverty and the boat loads of people who try to escape the country is less a documentary and more propaganda by way of a valentine sealed with a kiss,0
the movies captivating details are all in the performances  from foremans barkingmad taylor to thewliss smoothly sinister freddie and bettanymcdowells hardeyed gangster,1
a time machine  a journey back to your childhood  when cares melted away in the dark theater  and films had the ability to mesmerize  astonish and entertain,1
though nijinskys words grow increasingly disturbed  the film maintains a beguiling serenity and poise that make it accessible for a nonnarrative feature,1
effectively feeds our senses with the chilling sights and sounds from within the camp to create a completely numbing experience,1
while the production details are lavish  film has little insight into the historical period and its artists  particularly in how sand developed a notorious reputation,0
bibbidybobbidibland,0
its a familiar story  but one that is presented with great sympathy and intelligence,1
while its careful pace and seemingly opaque story may not satisfy every moviegoers appetite  the films final scene is soaringly  transparently moving,1
this breezy caper movie becomes a soulful  incisive meditation on the way we were  and the way we are,1
the script was reportedly rewritten a dozen times  either 11 times too many or else too few,0
yes  its as good as you remember  in fact  even better,1
baran is shockingly devoid of your typical majid majidi shoeloving  crippled children,1
one of the best  most understated performances of jack nicholsons career,1
at once disarmingly straightforward and strikingly devious,1
while its nice to watch a movie that hasnt been focusgrouped into tedium  yus cinematic alchemy produces nearly as much lead as gold,0
as inept as bigscreen remakes of the avengers and the wild wild west,0
about schmidt is undoubtedly one of the finest films of the year  if youre not deeply touched by this movie  check your pulse,1
adaptation is intricately constructed and in a strange way nails all of orleans themes without being a true adaptation of her book,1
its got the brawn  but not the brains,0
its not original  and  robbed of the element of surprise  it doesnt have any huge laughs in its story of irresponsible cops who love to play pranks,0
a woefully dull  redundant concept that bears more than a whiff of exploitation  despite iwais vaunted empathy,0
though it goes further than both  anyone who has seen the hunger or cat people will find little new here  but a tasty performance from vincent gallo lifts this tale of cannibal lust above the ordinary,0
its leaden and predictable  and laughs are lacking,0
one of the most significant moviegoing pleasures of the year,1
an oftendeadly boring  strange reading of a classic whose witty dialogue is treated with a baffling casual approach,0
the members manage to pronounce kok exactly as you think they might  thus giving the cast ample opportunity to use that term as often as possible  its very beavis and butthead  yet always seems to elicit a chuckle,1
the film doesnt sustain its initial promise with a jarring  newagey tone creeping into the second half,1
its a beautifully accomplished lyrical meditation on a bunch of despondent and vulnerable characters living in the renown chelsea hotel,1
this bracingly truthful antidote to hollywood teenage movies that slather clearasil over the blemishes of youth captures the combustible mixture of a chafing inner loneliness and desperate grandiosity that tend to characterize puberty,1
try as i may  i cant think of a single good reason to see this movie  even though everyone in my group extemporaneously shouted  thank you   when leguizamo finally plugged an irritating character late in the movie,0
sometimes charming  sometimes infuriating  this argentinean dramedy succeeds mainly on the shoulders of its actors,1
whats surprising about full frontal is that despite its overt selfawareness  parts of the movie still manage to break past the artifice and thoroughly engage you,1
this is not chabrols best  but even his lesser works outshine the best some directors can offer,1
though its become almost redundant to say so  major kudos go to leigh for actually casting people who look workingclass,1
all of the elements are in place for a great film noir  but director george hickenloopers approach to the material is too upbeat,0
collateral damage  goes by the numbers and reps decent action entertainment  until the silly showdown ending that forces the viewer to totally suspend disbelief,0
were left with a story that tries to grab us  only to keep letting go at all the wrong moments,0
bloody sunday has the grace to call for prevention rather than to place blame  making it one of the best war movies ever made  its a movie that accomplishes so much that one viewing cant possibly be enough,1
allens been making piffle for a long while  and hollywood ending may be his way of saying that piffle is all that the airhead movie business deserves from him right now,0
for movie lovers as well as opera lovers  tosca is a real treat,1
a harmless and mildly amusing family comedy,0
the pleasure of read my lips is like seeing a series of perfect black pearls clicking together to form a string  were drawn in by the dark luster,1
a wellintentioned effort thats still too burdened by the actors offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility,0
mr  caine and mr  fraser are the whole show here  with their memorable and resourceful performances,1
it rapidly develops into a gutwrenching examination of the way cultural differences and emotional expectations collide,1
features what is surely the funniest and most accurate depiction of writers block ever,1
the characters    are paperthin  and their personalities undergo radical changes when it suits the script,0
generally provides its target audience of youngsters enough stimulating eye and ear candy to make its moral medicine go down,1
tsai mingliangs witty  wistful new film  what time is it there   is a temporal inquiry that shoulders its philosophical burden lightly,1
unfortunately  neither sendak nor the directors are particularly engaging or articulate,0
disturbing and brilliant documentary,1
the film doesnt really care about the thousands of americans who die hideously  it cares about how ryan meets his future wife and makes his start at the cia,0
another example of how sandler is losing his touch,0
its a treat watching shaw  a british stage icon  melting under the heat of phocions attentions,1
while the humor aspects of jason x were far more entertaining than i had expected  everything else about the film tanks,0
a zippy 96 minutes of mediocre special effects  hoary dialogue  fluxing accents  and  worst of all  sillylooking morlocks,0
a showcase for both the scenic splendor of the mountains and for legendary actor michel serrault  the film is less successful on other levels,0
theres not much to fatale  outside of its stylish surprises    but thats ok,1
cacoyannis vision is far less mature  interpreting the play as a call for pity and sympathy for anachronistic phantasms haunting the imagined glory of their own pasts,0
tykwers surface flash isnt just a poor fit with kieslowskis lyrical pessimism  it completely contradicts everything kieslowskis work aspired to  including the condition of art,0
the story itself it mostly told through oncamera interviews with several survivors  whose riveting memories are rendered with such clarity that its as if it all happened only yesterday,1
i just loved every minute of this film,1
dark and unrepentant  this excursion into the epicenter of percolating mental instability is not easily dismissed or forgotten,1
the tugofwar at the core of beijing bicycle becomes weighed down with agonizing contrivances  overheated pathos and long  wistful gazes,0
did the film inform and educate me  yes  did it move me to care about what happened in 1915 armenia  no  and that is where ararat went astray,0
smith profiles five extraordinary american homes  and because the owners seem fully aware of the uses and abuses of fame  its a pleasure to enjoy their eccentricities,1
the overall effect is awe and affection  and a strange urge to get on a board and  uh  shred  dude,1
doesnt really add up to much,0
while the story does seem pretty unbelievable at times  its awfully entertaining to watch,1
in addition to gluing you to the edge of your seat  changing lanes is also a film of freshness  imagination and insight,1
escapism in its purest form,1
like its script  which nurses plot holes gaping enough to pilot an entire olympic swim team through  the characters in swimfan seem motivated by nothing short of dull  braindeadening hangover,0
good ol urban legend stuff,1
the nicest thing that can be said about stealing harvard  which might have been called freddy gets molested by a dog  is that its not as obnoxious as tom greens freddie got fingered,0
theres no emotional pulse to solaris  with an emotional sterility to match its outer space setting  soderberghs spectacular swing for the fence yields only a spectacular whiff,0
an effectively creepy  fearinducing  not fearreducing  film from japanese director hideo nakata  who takes the superstitious curse on chain letters and actually applies it,1
meant to reduce blakes philosophy into a tragic comingofage saga punctuated by bursts of animator todd mcfarlanes superhero dystopia,1
thoroughly engrossing and ultimately tragic,1
its supposed to be a romantic comedy  it suffers from too much norma rae and not enough pretty woman,0
a straightahead thriller that never rises above superficiality,0
i kept wishing i was watching a documentary about the wartime navajos and what they accomplished instead of all this specious hollywood hooha,0
every time you look  sweet home alabama is taking another bummer of a wrong turn,0
saved from being merely waycool by a basic  credible compassion,1
dreary  highly annoying    some body will appeal to no one,0
while it has definite weaknesses  like a rather unbelievable love interest and a meandering ending  this 60s caper film is a riveting  brisk delight,1
barrels along at the start before becoming mired in sentimentality,0
captivates as it shows excess in business and pleasure  allowing us to find the small  human moments  and leaving off with a grand whimper,1
represents something very close to the nadir of the thrillerhorror genre,0
though everything might be literate and smart  it never took off and always seemed static,1
hopefully itll be at the dollar theatres by the time christmas rolls around  wait to see it then,0
when a set of preshooting guidelines a director came up with for his actors turns out to be cleverer  better written and of considerable more interest than the finished film  thats a bad sign  a very bad sign,0
emash wednesdayem is not edward burns best film  but it is a good and ambitious film  and it marks him as one of the most interesting writerdirectors working today,1
hugh grant  who has a good line in charm  has never been more charming than in about a boy,1
russell lacks the visual panache  the comic touch  and perhaps the budget of sommerss titlebout features,0
if your senses havent been dulled by slasher films and gorefests  if youre a connoisseur of psychological horror  this is your ticket,1
the urban landscapes are detailed down to the signs on the kiosks  and the color palette  with lots of somber blues and pinks  is dreamy and evocative,1
a delightful romantic comedy with plenty of bite  its far from a frothy piece  and the characters are complex  laden with plenty of baggage and tinged with tragic undertones,1
an intelligent  earnest  intimate film that drops the ball only when it pauses for blunt exposition to make sure youre getting its metaphysical point,1
might have been better off as a documentary  with less of mr  eyres uninspired dramatics and more of his sense of observation and outrage,0
cuts right through the b  s  giving a big middlefingered  shut up  to those who talk up what is nothing more than two guys beating the hell outta one another,1
rouge is less about a superficial midlife crisis than it is about the need to stay in touch with your own skin  at 18 or 80,1
theres a whole heap of nothing at the core of this slight comingofagecomingout tale,0
mostly  goldbacher just lets her complicated characters be unruly  confusing and  through it all  human,1
sayles has an eye for the ways people of different ethnicities talk to and about others outside the group,1
a lowkey labor of love that strikes a very resonant chord,1
beautifully crafted and brutally honest  promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people,1
would that greengrass had gone a tad less for grit and a lot more for intelligibility,0
every so often a movie comes along that confirms ones worse fears about civilization as we know it  the new guy is one of them,0
schaefers    determination to inject farcical raunch    drowns out the promise of the romantic angle,0
its one of the saddest films i have ever seen that still manages to be uplifting but not overly sentimental,1
while we no longer possess the lackofattention span that we did at seventeen  we had no trouble sitting for blade ii,1
none of this is meaningful or memorable  but frosting isnt  either  and you wouldnt turn down a big bowl of that  would you,1
a smart  arch and rather coldblooded comedy,1
a complete waste of time,0
not since ghostbusters has a film used manhattans architecture in such a gloriously goofy way,1
y tu mamá también is hilariously  gloriously alive  and quite often hotter than georgia asphalt,1
starts out strongly before quickly losing its focus  point and purpose in a mess of mixed messages  overblown drama and bruce willis with a scar,0
a whole lot of fun and funny in the middle  though somewhat less hardhitting at the start and finish,1
like being trapped at a perpetual frat party    how can something so gross be so boring,0
a lesson in prehistoric hilarity,1
so purely enjoyable that you might not even notice its a fairly straightforward remake of hollywood comedies such as father of the bride,1
whaleys determination to immerse you in sheer  unrelenting wretchedness is exhausting,0
the film overcomes the regular minefield of comingofage cliches with potent doses of honesty and sensitivity,1
a sharp satire of desperation and cinematic deception,1
an undistinguished attempt to make a classic theater piece cinematic,0
sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects  not the least of which is rebecca romijnstamos,0
this humbling little film  fueled by the light comedic work of zhao benshan and the delicate ways of dong jie  is just the sort for those moviegoers who complain that they dont make movies like they used to anymore,1
all the ampedup tony hawkstyle stunts and thrashing rapmetal cant disguise the fact that  really  weve been here  done that,0
its sweet  its funny  it wears its heart on the sleeve of its gaudy hawaiian shirt  and  thanks to the presence of the king   it also rocks,1
not only does the movie fail to make us part of its reality  it fails the most basic relevancy test as well,0
a wellexecuted spythriller,1
as exciting as all this exoticism might sound to the typical pax viewer  the rest of us will be lulled into a coma,0
the charm of revolution os is rather the way it introduces you to new  fervently held ideas and fanciful thinkers,1
a twisty  moody slice of southern gothic,1
every potential twist is telegraphed well in advance  every performance respectably muted  the movie itself seems to have been made under the influence of rohypnol,0
a brain twister  less a moviemovie than a funny and weird meditation on hollywood  success  artistic integrity and intellectual bankruptcy,1
the movie is like scorseses mean streets redone by someone who ignored it in favor of old juvenile delinquent paperbacks with titles like leather warriors and switchblade sexpot,0
theres nothing remotely topical or sexy here,0
the actors improvise and scream their way around this movie directionless  lacking any of the rollicking dark humor so necessary to make this kind of idea work on screen,0
great character interaction,1
director rob marshall went out gunning to make a great one,1
this is the kind of movie during which you want to bang your head on the seat in front of you  at its cluelessness  at its idiocy  at its utterly misplaced earnestness,0
the emotional overload of female angst irreparably drags the film down,0
like its two predecessors  1983s koyaanisqatsi and 1988s powaqqatsi  the cinematic collage naqoyqatsi could be the most navelgazing film ever,1
only in its final surprising shots does rabbitproof fence find the authority its looking for,0
not a bad premise  but the execution is lackluster at best,0
however clever nelson has been in providing variation within the confines of her structure and staging  the question remains whether this should  indeed  have been presented as a theatrical release,0
if youre as happy listening to movies as you are watching them  and the slow parade of human frailty fascinates you  then youre at the right film,1
even those of a single digit age will be able to recognize that this story is too goofy    even for disney,0
fans of the tv series will be disappointed  and everyone else will be slightly bored,0
lacking gravitas  macdowell is a placeholder for grief  and ergo this sloppy drama is an empty vessel  leave these flowers unpicked  theyre dead on the vine,0
despite auteuils performance  its a rather listless amble down the middle of the road  where the thematic ironies are too obvious and the sexual politics too smug,0
just another combination of bad animation and mindless violence    lacking the slightest bit of wit or charm,0
lawrence bounces all over the stage  dancing  running  sweating  mopping his face and generally displaying the wacky talent that brought him fame in the first place,1
enjoyably dumb  sweet  and intermittently hilarious  if youve a taste for the quirky  steal a glimpse,1
although i didnt hate this one  its not very good either  it can be safely recommended as a videodvd babysitter,1
on its icy face  the new film is a subzero version of monsters  inc   without the latters imagination  visual charm or texture,0
excellent performances from jacqueline bisset and martha plimpton grace this deeply touching melodrama,1
always destined to be measured against anthony asquiths acclaimed 1952 screen adaptation,0
god help the poor woman if attal is this insecure in real life  his fictional yvans neuroses are aggravating enough to exhaust the patience of even the most understanding spouse,0
the bai brothers have taken an small slice of history and opened it up for all of us to understand  and theyve told a nice little story in the process,1
if a big musical number like praise the lord  hes the god of second chances doesnt put you off  this will be an enjoyable choice for younger kids,1
the trials of henry kissinger is a remarkable piece of filmmaking  because you get it,1
i suspect that there are more interesting ways of dealing with the subject,0
a tone of rueful compassion    reverberates throughout this film  whose meaning and impact is sadly heightened by current world events,1
adolescents will be adequately served by the movies sophomoric blend of shenanigans and slapstick  although the more lasciviousminded might be disappointed in the relative modesty of a movie that sports a topless tutorial service,0
each scene drags  underscoring the obvious  and sentiment is slathered on top,0
the premise for this kegger comedy probably sounded brilliant four sixpacks and a pitcher of margaritas in  but the film must have been written    in the thrall of a vicious hangover,0
the film is based on truth and yet there is something about it that feels incomplete  as if the real story starts just around the corner,0
it tells more than it shows,0
a delightfully unpredictable  hilarious comedy with wonderful performances that tug at your heart in ways that utterly transcend gender labels,1
youll gasp appalled and laugh outraged and possibly  watching the spectacle of a promising young lad treading desperately in a nasty sea  shed an errant tear,1
there are moments of hilarity to be had,1
serious and thoughtful,1
if its seldom boring  well  its also rarely coherent,0
with elements cribbed from langs metropolis  welles kane  and eisensteins potemkin  the true wonder of rintarôs metropolis is the number of lasting images all its own,1
zany  exuberantly irreverent animated space adventure,1
sunshine state lacks the kind of dynamic that limbo offers  and in some ways is a rather indulgent piece,0
shame on writerdirector vicente aranda for making a florid biopic about mad queens  obsessive relationships  and rampant adultery so dull,0
spiced with humor  i speak fluent flatula   advises denlopp after a rather  er  bubbly exchange with an alien deckhand  and witty updatings  silvers parrot has been replaced with morph  a cute alien creature who mimics everyone and everything around,1
seems content to dogpaddle in the mediocre end of the pool  and its a sad  sick sight,0
nair and writer laura cahill dare to build a movie around some flawed but rather unexceptional women  emerging with a fine character study thats short on plot but rich in the tiny revelations of real life,1
a movie that tries to fuse the two woods but winds up a bollyholly masala mess,0
frida isnt that much different from many a hollywood romance  what sets it apart is the vision that taymor  the avant garde director of broadways the lion king and the film titus  brings,1
once again  director jackson strikes a rewarding balance between emotion on the human scale and actioneffects on the spectacular scale,1
the production design  score and choreography are simply intoxicating,1
without resorting to hyperbole  i can state that kissing jessica stein may be the best samesex romance i have seen,1
the movie enters a realm where few nonporn films venture  and comes across as darkly funny  energetic  and surprisingly gentle,1
a gorgeous  somnolent show that is splendidly mummified and thoroughly unsurprising,0
few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands,1
painfully padded,0
a muddled limp biscuit of a movie  a vampire soap opera that doesnt make much sense even on its own terms,0
too many scenarios in which the hero might have an opportunity to triumphantly sermonize  and too few that allow us to wonder for ourselves if things will turn out okay,0
the thrill is  long  gone,0
schüttes dramatic snapshot of the artist three days before his death offers an interesting bit of speculation as to the issues brecht faced as his life drew to a close,1
uncertain in tone    a garbled exercise in sexual politics  a junior varsity short cuts by way of very bad things,0
